SETTING,BGU,BGU_Code,Comment,Suggested_BGU_Code
Solid Earth,abyssal hill,SE01,,SE01
Solid Earth,astrobleme,SE11,,SE11
Solid Earth,axial volcanic ridge,SE02,,SE02
Solid Earth,bedding ridge,SE06,,SE06
Solid Earth,bedrock outcrop (undefined),SE04,,SE04
Solid Earth,bench,SE07,,SE07
Solid Earth,cliff,SE13,,SE13
Solid Earth,dip slope,SE07,,SE07
Solid Earth,guyot,SE10,,SE10
Solid Earth,impact crater,SE11,,SE11
Solid Earth,magmatic outcrop,SE05,,SE05
Solid Earth,oceanic core complex,SE12,,SE12
Solid Earth,scarp slope,SE13,,SE13
Solid Earth,tectonic depression,SE09,,SE09
Solid Earth,tectonic escarpment,SE14,,SE14
Solid Earth,tectonic high,SE03,,SE03
Solid Earth,tectonic lineament,SE08,,SE08
Solid Earth,volcano (island or submarine),SE10,,SE10
Any,NA,Naxx,suggest new entry,NA01
Any,Unknown,Unxx,suggest new entry,Un01
